# WORD	TF	IDF	ATTR
充电器	13.39	13.92	n
西瓜	12.47	11.56	n
奶茶	12.11	11.77	n
八宝粥	11.61	13.27	n
纸	14.36	5.77	n
u盘	12.7	11.05	n
背包	10.06	15.33	n
冰柜	12.31	11.34	n
笔记本电脑	12.99	9.75	n
电脑	12.64	11.52	n
玻璃水杯子	13.95	7.84	n
胶水	12.98	10.39	n
手表	13.29	10.02	n
桌子	13.19	15.81	n
面包	11.61	13.26	n
牛排	11.64	12.73	n
大葱	14.6	4.97	n
鼠标	13.45	9.22	n
电扇	11.79	12.92	n
空调	11.02	14.27	n
木门	11.13	13.65	n
木头	11.43	13.58	n
鞋子	12.79	10.85	n
书	11.93	12.15	n
被子	11.87	12.78	n
本子	0.82	0	n
衣服	14.04	8	n
裤子	0.88	0	n
袜子	11.73	12.55	n
猫毛	11.59	12.83	n
狗毛	14.23	6.21	n
人参	10.3	15.36	n
垃圾袋	13.25	9.07	n
饭盒	12.92	10.88	n
筷子	13.45	9.22	n
荔枝	0.99	0	n
手机	11.99	12.02	n
电池	0.8	0	n
塑料盒	11.7	12.61	n
塑料瓶	10.27	15.39	n
杯子	13.34	9.5	n
旧报纸	0.98	0	n
糖	10.41	15.4	n
菜汤	13.92	7.16	n
西湖牛肉羹	12.45	11.03	n
土豆	12.79	11.58	n
土豆丝	12.2	12.13	n
软件	13.8	7.54	n
手提包	13.36	8.77	n
剩菜	13.59	9.25	n
剩饭	13.79	7.57	n
伞	11.52	13.43	n
剩菜剩饭	12.39	11.18	n
雨伞伞套	12.54	11.4	n
头发	11.95	12.1	n
包子	0.74	0	n
可乐瓶	1.22	0	n
床单	13	9.72	n
易拉罐	12.66	10.55	n
充电电池	12.04	11.93	n
鸡蛋	13.13	15.01	n
1号电池	13	9.72	n
鸡蛋汤	12.26	12	n
5号电池	13.88	14.32	n
鸡蛋饼	10.41	15.19	n
7号电池	10.19	15.14	n
酒瓶	13.25	9.73	n
酸奶	12.59	10.72	n
废纸张	12.42	11.11	n
废纸塑铝复合包装	12.8	11.15	n
其它废纸张	14.54	5.17	n
家具	13.6	12.96	n
沙发	12.92	10.53	n
床垫	12.26	12	n
PET瓶	0.7	0	n
塑料包装物	10.01	15.39	n
其它废塑料	13.55	9.36	n
平板玻璃 	12.21	11.57	n
瓶料玻璃	14.16	6.42	n
其它废玻璃制品	14.11	6.57	n
黑色金属	13.61	8.08	n
废钢	13.56	9.33	n
废铁	14.06	6.73	n
有色金属	13.71	13.62	n
废铜	11.07	14.19	n
废铝	11.15	14.06	n
废锡	12.41	11.13	n
废不锈钢	0.85	0	n
其它金属	12.37	11.22	n
旧报书本	12.87	10.05	n
稀贵金属	11.64	13.2	n
箱板纸	13.79	8.99	n
旧衣服	11.79	12.43	n
旧纸板箱	11.82	12.88	n
旧棉被	13.04	16.4	n
其它废织物	13.37	14	n
废玻璃制品	1.18	0	n
废金属	12.8	10.82	n
废织物	13.02	9.68	n
废镍镉电池	11.23	13.93	n
废荧光灯管	13.44	8.55	n
废药品	12.05	12.43	n
废药品包装物	11.9	13	n
废油漆	12.56	11.36	n
废油漆溶剂	14.03	7.61	n
废油漆包装物	0.8	0	n
废矿物油	12.57	10.76	n
废矿物油包装物	13.77	8.78	n
废含汞温度计	13.66	13.84	n
废含汞血压计	13.29	8.97	n
废杀虫剂	12.66	11.13	n
消毒剂	13.91	14.66	n
消毒剂包装物	13.62	15.42	n
废胶片	13.92	7.18	n
食材废料	10.23	15.09	n
过期食品	1.09	0	n
枕头	12.71	11.03	n
棉被	13.09	9.5	n
瓜皮果核	13.72	9.18	n
皮鞋	12.83	10.13	n
毛绒玩具	13.16	9.32	n
花卉绿植	13.4	9.99	n
中药药渣	13.05	10.24	n
馒头	12.5	11.49	n
除上述三类外的垃圾	13.35	15.15	n
类别分辨不清的垃圾	13.14	10.37	n
纸板箱	10.27	15.39	n
报纸	12.38	11.19	n
废弃书本	13.15	9.33	n
快递纸袋	12.66	11.13	n
打印纸	13.61	9.2	n
信封	12.7	11.06	n
广告单	12.69	11.08	n
纸塑铝复合包装	13.84	8.57	n
医用棉签	13.5	13.42	n
利乐包	10	15.41	n
酒杯	12.56	11.36	n
塑料袋	13.21	15.74	n
剪刀	13.4	16.27	n
香蕉	10.24	15.07	n
led灯	13.83	8.18	n
x光片	12.73	10.38	n
安神补脑液瓶	13.73	8.46	n
一号电池（无汞）	13.08	10.16	n
笔记本电脑电池	10.31	15.34	n
保健品	11.34	13.74	n
保健品瓶子	13.5	8.4	n
五号电池（无汞）	12.5	11.81	n
玻璃药瓶	12.07	11.86	n
5号电池（无汞）	13.2	16.37	n
除草剂	13.78	7.6	n
电灯泡	14.62	4.9	n
冻干粉	11.8	12.9	n
7号电池（无汞）	13.98	6.99	n
502胶水	13.59	8.14	n
湿报纸	11.44	13.1	n
cd塑料盒	11.89	12.23	n
圣女果	12.4	11.14	n
打火机燃料瓶	13.66	9.05	n
DVD	12.13	11.74	n
碘酒瓶	0.95	0	n
耳机	11.19	13.55	n
达克宁药膏	12.33	12.17	n
灯泡	13.31	8.91	n
kfc食物包装	11.86	12.79	n
滴眼液	14.05	6.78	n
废胶卷	12.56	11.68	n
艾草灰	0.72	0	n
废节能灯	13.5	8.4	n
QQ糖	11.82	12.36	n
废农药	11.21	13.51	n
艾草	12.11	12.3	n
废弃灯泡	13.06	10.21	n
鹌鹑	13.55	8.25	n
废弃药瓶	12.66	11.13	n
鹌鹑蛋	0.76	0	n
鹌鹑蛋壳	12.48	10.96	n
废水银温度计	11.77	12.96	n
奥利奥饼干	10.28	15.38	n
废水银血压计	12.27	11.43	n
废血压计	11.44	13.11	n
棒棒糖	12.4	12.37	n
菠菜	12.94	10.85	n
感光胶片	13.56	9.33	n
白茶	10.79	14.22	n
感冒药	10.87	14.1	n
感冒药包装	12.82	10.16	n
扁豆	0.7	0	n
钙片	14.48	5.36	n
布丁	13.04	9.62	n
巴旦木	12.24	11.5	n
冰粉	10.58	14.95	n
饼干	12.99	9.75	n
贝果	13.09	16.8	n
碧根果肉	1	0	n
过期西药	11.4	13.18	n
过期药片	14.53	6.07	n
白瓜子	11.3	13.35	n
过期指甲油	11.56	13.35	n
指甲油	12.8	11.15	n
药膏	11.34	13.29	n
包着猫屎的豆腐猫砂	1.22	0	n
膏药	11.85	12.32	n
百合	14.22	6.23	n
薄荷糖	13.54	13.26	n
八角	12.92	9.91	n
北京烤鸭	11.28	13.4	n
槟榔	12.34	11.83	n
膏药布	12.53	11.43	n
膏药包装	13.56	8.94	n
菠萝	14.34	11.41	n
给药器	0.71	0	n
红花油	11.82	12.87	n
红霉素软膏	12.68	10.51	n
化学剂桶	13.12	16.08	n
胶合剂	14.19	7.59	n
酒精	14.45	5.47	n
胶卷底片	1.19	0	n
板栗壳	13.29	8.98	n
菠萝蜜肉	13.07	9.53	n
菠萝皮	11.13	14.1	n
金霉素眼药膏	13.58	9.27	n
拌面	12.65	11.16	n
胶囊	11	14.3	n
爆米花	10.31	15.33	n
胶囊底板	10.26	15.4	n
白米虾	11.89	12.73	n
节能灯	13.87	7.32	n
胶片	11.28	13.38	n
白米虾壳	12.76	10.32	n
工业胶水	0.7	0	n
胶水桶	11.65	13.19	n
金嗓子含片	13.99	6.96	n
蚌肉	11.76	12.98	n
口服液	11.58	13.58	n
口服液瓶	13.93	7.15	n
口服液瓶盖	12.27	11.43	n
口服液吸管	13	10.7	n
颗粒药包装袋	0.76	0	n
开塞露	11.95	12.62	n
白砂糖	14.01	8.1	n
白色恋人饼干	12.66	11.15	n
白糖	1.17	0	n
咳嗽药片	13.13	10.63	n
冰糖	1.13	0	n
咳嗽药水瓶	11.71	12.58	n
空调清洗消毒液瓶	13.13	15.01	n
空药瓶	12.88	10.64	n
锂电池	13.08	16.82	n
雷达瓶子	13.62	9.17	n
卤素灯	11.14	13.63	n
老鼠药	12.13	12.26	n
录像带	12.38	11.19	n
冰糖葫芦	11.8	12.9	n
灭蚊喷雾剂	13.51	13.38	n
马应龙痔疮膏	10.45	15.34	n
纽扣电池	13.72	8.9	n
农药瓶	12.17	11.64	n
喷漆罐	14.62	4.91	n
泡腾片	11.29	13.82	n
清洗剂	13.32	9.56	n
铅酸电池	13.7	8.95	n
人丹	12.52	10.88	n
洗发膏	12.02	12.48	n
染发剂	0.74	0	n
染发剂壳	12.69	10.49	n
染发手套	11.8	12.41	n
日光灯	13.42	8.61	n
杀虫剂	12.52	11.45	n
杀虫子罐	14.11	10.51	n
杀虫喷雾	12.04	11.93	n
深海鱼油	13.51	8.38	n
伤筋膏药	11.84	13.11	n
伤筋膏药包装	11.11	14.12	n
输液瓶	12.2	11.58	n
水银体温计	12.25	12.8	n
树脂	1.26	0	n
手机电池	11.74	13.02	n
松节油	12.41	12.2	n
塑料药盒	11.18	14.25	n
生石灰	13.94	8.29	n
碳粉盒	13.39	15.63	n
透明塑料药瓶	1.03	0	n
烫伤膏	14.11	6.6	n
烫伤药	11.86	12.29	n
外敷伤药	14.22	7.48	n
维生素	11.92	12.67	n
维生素瓶	12.57	10.77	n
蓄电池	12.47	11	n
硒鼓	14.03	6.85	n
西瓜霜	12.03	12.47	n
百香果壳	10.62	15.35	n
卸甲水	12.78	10.86	n
百香果籽	13.62	8.05	n
西瓜皮	13.87	7.32	n
鲅鱼水饺	13.86	14.4	n
卸甲油	13.71	8.94	n
卸甲膜	13.21	15.74	n
煲仔饭	0.84	0	n
白煮蛋	12.94	9.86	n
包子馅	12.86	10.68	n
相片底片	0.74	0	n
葱	12.81	10.18	n
西药	12.98	9.78	n
西药瓶	14.13	6.53	n
蚕宝宝	12.75	10.33	n
药包装	0.85	0	n
草本植物	13.82	8.63	n
蚕豆	11.69	12.62	n
菜饭	14.54	6.02	n
一次性注射器	11.97	12.58	n
茨菇	10.31	15.33	n
药罐	13.77	7.62	n
蝉蛹	1.13	0	n
臭虫	12.56	10.79	n
药膏包装壳	13.9	8.42	n
臭豆腐	12.68	11.43	n
荧光灯	13.26	9.72	n
鱼肝油	11.12	13.68	n
鱼肝油盒	1.1	0	n
炒花生壳	11.67	13.43	n
药壶	13.44	15.42	n
炒花生米	13.23	10.15	n
氧化汞电池	12.5	10.93	n
翅尖	11.57	13.59	n
药剂	12.83	10.75	n
药瓶	0.79	0	n
车厘子	10.33	15.31	n
车厘子核	12.37	12.08	n
炒米粉	11.91	12.7	n
药片内包装	12.92	10.53	n
陈皮	12.24	12.55	n
油漆笔	10.3	15.35	n
陈皮梅	13.61	14.1	n
油漆桶	13.39	13.92	n
川崎火锅调料	12.39	11.17	n
菜叶	0.71	0	n
面条	11.55	12.9	n
药水玻璃瓶	12.79	10.25	n
药丸	12.85	10.1	n
叉烧	12.11	12.3	n
橙子	13.08	9.51	n
粽子馅	12.31	11.9	n
枣子核	12.47	11.55	n
中药渣	14.6	4.96	n
章鱼小丸子	14.14	6.5	n
植物枝干	12.14	11.71	n
紫薯皮	1.21	0	n
孜然粉	13.83	7.43	n
栀子花	15	4.97	n
蜘蛛丝	13.01	15.52	n
中药材	11.08	13.74	n
叉烧包	1.21	0	n
叉烧酥	12.58	10.73	n
彩虹糖	13.06	15.33	n
沉香茶	13.17	16.46	n
茶叶	13.63	8.03	n
茶叶蛋	13.55	9.34	n
茶叶蛋壳	10.54	15.01	n
虫子	13.11	10.08	n
橙子皮	11.73	12.55	n
橙子籽	12.63	11.21	n
草莓	12.79	10.24	n
草莓叶	11.46	13.07	n
菜皮	12.36	11.24	n
橙皮	13.55	14.32	n
脆皮甜筒	13.26	10.09	n
仓鼠粮	13.2	14.72	n
草头	13.18	16.43	n
牲畜粪便	12.2	12.12	n
宠物饲料	13	15.54	n
苍蝇	12.79	11.81	n
粗盐	12.54	10.83	n
葱油饼	0.75	0	n
茶叶渣	13	9.73	n
脆枣	11.62	12.75	n
茶渣	13.03	10.29	n
残枝落叶	13.7	7.83	n
大饼	13.59	8.14	n
蛋白	12.48	11.53	n
一次性眼药水	12.75	10.34	n
中药袋	13.93	11.42	n
鱼油胶囊	13.14	9.35	n
医用纱布	11.97	12.59	n
眼药水	13.13	9.4	n
眼药水瓶	13.27	9.02	n
医用手套	10.29	15.36	n
医用针管	10.27	15.39	n
医用注射器	13.55	13.18	n
西瓜霜含片	13.53	9.39	n
痔疮膏	11.73	12.55	n
大白菜	14.45	6.32	n
蛋白粉	10.73	15.1	n
豆瓣酱	12.47	11.55	n
大白兔奶糖	12.26	11.46	n
多宝鱼骨头	12.99	9.74	n
MP3	0.71	0	n
蛋炒饭	13.27	14.43	n
豆腐	11.86	12.8	n
豆腐干	13.65	9.09	n
豆腐花	13.17	17.15	n
豆腐猫砂	12.9	9.97	n
指甲油瓶子	13.44	13.71	n
豆腐脑	12.23	12.07	n
止咳枇杷膏	12.44	11.94	n
豆腐皮	13.53	9.01	n
A4纸	13.34	9.51	n
止咳糖浆瓶	13.22	9.15	n
豆腐乳	0.72	0	n
蟑螂药	12.73	10.38	n
蛋糕	11.21	13.51	n
冬瓜	12.55	11.39	n
樟脑丸	12.85	10.1	n
AD钙奶瓶	0.73	0	n
豆干	11.85	12.82	n
照片	12.11	12.3	n
豆杆	11.9	12.71	n
当归	12.38	11.74	n
止痛膏	13.4	9.35	n
冬瓜皮	11.77	12.48	n
当归片	13.63	9.13	n
德国香肠	14.32	6.73	n
冬瓜籽	1.23	0	n
蛋黄	13.7	7.83	n
蛋黄酱	12.51	10.9	n
蛋黄派	13.38	9.79	n
蛋黄酥	13.66	7.95	n
蛋卷	10.78	14.25	n
杜鹃花	12.06	11.88	n
豆浆渣	0.72	0	n
蛋壳	12.51	11.79	n
KFC纸袋	10.01	15.39	n
德克士炸鸡	10.39	15.22	n
大龙虾肉	14.08	7.9	n
LED手电筒	13.71	7.81	n
豆苗	12.54	10.82	n
大米	13.52	13.33	n
大排	13.52	16.06	n
蛋皮	10.41	15.41	n
PET塑料瓶	13.89	8.01	n
多肉植物	13.26	9.7	n
豆沙包	0.72	0	n
PS4	13.14	14.96	n
冬笋皮	11.9	12.22	n
冬笋壳	12.78	10.87	n
大蒜皮	13.43	13.74	n
PU革	0.74	0	n
大蒜叶	13.52	9.42	n
蛋挞	11.96	12.08	n
T恤	1.05	0	n
蛋挞皮	14.62	4.9	n
大头虾	12.1	12.62	n
动物内脏	12.69	10.48	n
动物尸体	12.41	11.12	n
凋谢的鲜花	0.76	0	n
豆油	11.5	13.46	n
豆芽	9.99	15.42	n
冬枣	13.23	14.59	n
豆汁	0.72	0	n
大闸蟹	12.58	11.32	n
竹叶	12.54	10.83	n
大闸蟹壳	12.42	11.1	n
豆制品	10.61	14.91	n
猪小排	12.53	11.42	n
猪蹄骨	11.87	12.27	n
猪蹄	11.88	12.76	n
芝士丸	12.73	10.38	n
芝士	13.1	10.11	n
竹笋	0.73	0	n
猪肉排骨	10.01	15.4	n
猪肉铺	1.12	0	n
猪肉	13.25	9.08	n
猪扒	11.73	13.04	n
猪排	11.53	13.41	n
猪皮	0.8	0	n
芝麻酱	11.88	12.75	n
芝麻糊	12.29	11.38	n
芝麻	10.05	15.34	n
猪肋排	11.87	12.78	n
蟑螂	12.1	12.32	n
炸鸡	14.12	7.77	n
Pocky包装盒	13.48	13.52	n
藏红花	12.49	12.04	n
猪肝	12.63	11.21	n
猪耳朵	13.16	10.33	n
Rio 玻璃酒瓶	11.82	12.36	n
中草药	14.62	4.88	n
榨菜	13.34	14.13	n
Rio易拉罐	11.32	13.32	n
枣核	11.95	12.62	n
粥	0.75	0	n
USB风扇	13.81	8.67	n
早餐谷物	14.35	7.09	n
紫菜	11.74	12.54	n
柚子皮	11.42	13.6	n
安慕希酸奶盒	12.78	10.27	n
鱼子酱	12.94	9.88	n
杨枝甘露	12.86	10.08	n
鸭胗	0.91	0	n
奥热曼玩具	12.95	10.47	n
柚子核	13.45	8.53	n
鸭爪	13.16	9.3	n
奥特曼卡片	12.5	10.93	n
鸭掌	11.65	12.71	n
叶子	10.3	15.35	n
布包	13.15	9.98	n
鱿鱼丝	13.41	13.81	n
油烟机油	13.29	9.63	n
鱿鱼	12.1	12.81	n
步步高学习机	14.42	8.93	n
芋圆	13.46	9.58	n
芭比娃娃	12.29	11.93	n
鱼香肉丝	13.92	14.13	n
银杏果	14.42	6.43	n
白炽灯	13.29	8.98	n
鸭下巴	12.89	9.99	n
鸭胸	12.07	12.67	n
鱼虾	13.45	14.75	n
核桃籽	11.84	12.83	n
油桃肉	11.01	14.29	n
油桃核	12.34	11.27	n
鸭腿骨	10.32	14.96	n
樱桃梗	11.99	12.55	n
樱桃干	11.75	13.46	n
核桃	13.26	16.53	n
鱼头	12.98	9.78	n
芋头	14.16	7.68	n
鸭头	12.39	11.16	n
油条	11.61	12.78	n
鸭腿	11.87	12.78	n
鱼饲料	13.35	8.81	n
盐酥鸭	12.45	11.61	n
